"x","y","krill"
-125.95,46.35,9.38464450836182
-125.95,46.25,9.06082439422607
-125.95,46.15,9.15442562103271
-125.95,46.05,9.53790855407715
-125.95,45.95,9.33103179931641
-125.95,45.85,9.63180637359619
-125.95,45.05,9.3329963684082
-125.95,44.95,8.78540802001953
-125.95,44.85,8.63611793518066
-125.95,44.75,8.63510417938232
-125.95,44.65,8.75736999511719
-125.95,44.55,8.68617534637451
-125.95,44.45,8.68919277191162
-125.95,44.35,8.78313636779785
-125.95,44.25,8.78213500976562
-125.95,44.15,8.98543453216553
-125.95,44.05,8.89068698883057
-125.95,43.95,8.88317966461182
-125.95,43.85,8.88416862487793
-125.95,43.75,8.89641857147217
-125.95,43.65,9.05916595458984
-125.95,43.55,8.72857093811035
-125.95,43.45,9.01278400421143
-125.95,43.35,8.9529972076416
-125.95,43.25,8.9476432800293
-125.95,43.15,8.98062610626221
-125.95,43.05,9.09073829650879
-125.95,42.95,9.15355587005615
-125.95,42.85,9.28928184509277
-125.95,42.75,9.31339454650879
-125.95,42.65,9.36437129974365
-125.95,42.55,9.44826507568359
-125.95,42.45,9.48747253417969
-125.95,42.35,9.56015396118164
-125.95,42.25,9.70728969573975
-125.95,42.15,9.73990154266357
-125.95,42.05,9.7351016998291
-125.95,41.95,9.73931217193604
-125.95,41.85,9.73758888244629
-125.95,41.75,9.80512237548828
-125.95,41.65,9.44973468780518
-125.95,41.55,9.5928430557251
-125.95,41.45,10.0411205291748
-125.95,41.35,9.909499168396
-125.95,41.25,9.91544532775879
-125.95,41.15,9.88109683990479
-125.95,41.05,10.2555637359619
-125.95,40.95,10.2452182769775
-125.95,40.85,10.0596256256104
-125.95,40.75,10.0977897644043
-125.95,40.65,9.94924068450928
-125.95,40.55,9.91486549377441
-125.95,40.45,9.88616943359375
-125.95,40.35,9.82619190216064
-125.95,40.25,9.98373413085938
-125.95,40.15,10.1912994384766
-125.95,40.05,10.1155815124512
-125.95,39.95,10.0761728286743
-125.95,39.85,9.59961605072021
-125.95,39.75,9.37502670288086
-125.95,39.65,9.20008087158203
-125.85,47.95,7.8978853225708
-125.85,47.85,9.55562400817871
-125.85,47.75,9.57394790649414
-125.85,47.65,9.05776214599609
-125.85,47.55,8.29621982574463
-125.85,47.45,8.29080867767334
-125.85,47.35,8.28609466552734
-125.85,47.25,8.23265266418457
-125.85,47.15,8.15975475311279
-125.85,47.05,8.23343849182129
-125.85,46.95,8.27795791625977
-125.85,46.85,9.11232280731201
-125.85,46.75,9.0998125076294
-125.85,46.65,9.0656042098999
-125.85,46.55,9.07992172241211
-125.85,46.45,9.41174983978271
-125.85,46.35,9.13126850128174
-125.85,46.25,9.08583545684814
-125.85,46.15,9.13253974914551
-125.85,46.05,9.58303070068359
-125.85,45.95,9.51259708404541
-125.85,45.85,9.34862232208252
-125.85,45.75,9.7561502456665
-125.85,45.65,9.70862293243408
-125.85,45.55,9.64990234375
-125.85,45.45,9.5284538269043
-125.85,45.35,9.45699596405029
-125.85,45.25,9.34920501708984
-125.85,45.15,9.30110740661621
-125.85,45.05,9.12460899353027
-125.85,44.95,8.74455547332764
-125.85,44.85,8.62233829498291
