"x","y","layer"
-128.65,47.05,0.000743965734727681
-128.55,47.05,0.000710542721208185
-128.45,47.05,0.000603870896156877
-128.35,47.05,0.000542469439096749
-128.25,47.05,0.000552994140889496
-128.15,47.05,0.0005356136825867
-128.05,47.05,0.000502079667057842
-127.95,47.05,0.000458890775917098
-127.85,47.05,0.000462557625724003
-127.75,47.05,0.000435714435297996
-127.65,47.05,0.000489089463371783
-127.55,47.05,0.0005650250823237
-127.45,47.05,0.000653983501251787
-127.35,47.05,0.000759499554987997
-127.25,47.05,0.000803190341684967
-127.15,47.05,0.000891627743840218
-127.05,47.05,0.000967244617640972
-126.95,47.05,0.000959670345764607
-126.85,47.05,0.000919743964914232
-126.75,47.05,0.000900930899661034
-126.65,47.05,0.000811168167274445
-126.55,47.05,0.000766476325225085
-126.45,47.05,0.000833708385471255
-126.35,47.05,0.00124740810133517
-126.25,47.05,0.00235222186893225
-126.15,47.05,0.00444185640662909
-126.05,47.05,0.00524120265617967
-125.95,47.05,0.00609239703044295
-125.85,47.05,0.00825422815978527
-125.75,47.05,0.00791487656533718
-125.65,47.05,0.00457031838595867
-125.55,47.05,0.00448961788788438
-125.45,47.05,0.0105132227763534
-125.35,47.05,0.0123865492641926
-125.25,47.05,0.00932043325155973
-125.15,47.05,0.0101892771199346
-125.05,47.05,0.0122597189620137
-124.95,47.05,0.0166058521717787
-124.85,47.05,0.0220313183963299
-124.75,47.05,0.0213879644870758
-124.65,47.05,0.00731890555471182
-124.55,47.05,0.00226719258353114
-124.45,47.05,0.00149570987559855
-124.35,47.05,0.00157505087554455
-124.25,47.05,0.00173105217982084
-131.65,46.95,0.00289938156493008
-131.55,46.95,0.00241710571572185
-131.45,46.95,0.00209575775079429
-131.35,46.95,0.00181425828486681
-131.25,46.95,0.00184941443149
-131.15,46.95,0.00150491134263575
-131.05,46.95,0.00170618272386491
-130.95,46.95,0.00141449389047921
-130.85,46.95,0.00137294852174819
-130.75,46.95,0.00148694659583271
-130.65,46.95,0.00155733979772776
-130.55,46.95,0.00169512431602925
-130.45,46.95,0.0026964065618813
-130.35,46.95,0.00115748925600201
-130.25,46.95,0.000844124471768737
-130.15,46.95,0.000878282415214926
-130.05,46.95,0.00086211267625913
-129.95,46.95,0.000849042786285281
-129.85,46.95,0.000827800249680877
-129.75,46.95,0.000919800018891692
-129.65,46.95,0.00096178543753922
-129.55,46.95,0.000994320260360837
-129.45,46.95,0.00117005757056177
-129.35,46.95,0.00117672560736537
-129.25,46.95,0.0011273268610239
-129.15,46.95,0.00108470721170306
-129.05,46.95,0.00107183295767754
-128.95,46.95,0.00098548736423254
-128.85,46.95,0.000831160286907107
-128.75,46.95,0.000742906820960343
-128.65,46.95,0.000715747475624084
-128.55,46.95,0.000661713711451739
-128.45,46.95,0.000605039589572698
-128.35,46.95,0.000546659342944622
-128.25,46.95,0.000479742448078468
-128.15,46.95,0.000449492217740044
-128.05,46.95,0.000431995402323082
-127.95,46.95,0.000401953235268593
-127.85,46.95,0.000411463959608227
-127.75,46.95,0.000384649494662881
-127.65,46.95,0.000438018061686307
-127.55,46.95,0.000507232907693833
-127.45,46.95,0.000637179240584373
-127.35,46.95,0.000763735151849687
-127.25,46.95,0.000803653500042856
-127.15,46.95,0.000852512486744672
-127.05,46.95,0.000883946719113737
-126.95,46.95,0.000904573127627373
-126.85,46.95,0.000877967162523419
-126.75,46.95,0.000830587872769684
-126.65,46.95,0.00077624578261748
-126.55,46.95,0.000733494642190635
-126.45,46.95,0.000686878978740424
-126.35,46.95,0.000888419221155345
-126.25,46.95,0.00139920914079994
-126.15,46.95,0.0036712905857712
-126.05,46.95,0.00519887544214725
-125.95,46.95,0.00657117459923029
-125.85,46.95,0.00854251813143492
-125.75,46.95,0.00791866611689329
-125.65,46.95,0.00440955813974142
-125.55,46.95,0.00407560216262937
-125.45,46.95,0.0106064537540078
-125.35,46.95,0.0115005383267999
-125.25,46.95,0.00985322613269091
-125.15,46.95,0.0127831380814314
-125.05,46.95,0.0140628982335329
-124.95,46.95,0.0177105255424976
-124.85,46.95,0.026201544329524
-124.75,46.95,0.0203414261341095
-124.65,46.95,0.00571278156712651
-124.55,46.95,0.00206454773433506
-124.45,46.95,0.00157511117868125
-124.35,46.95,0.00148862425703555
-124.25,46.95,0.00157936941832304
-131.65,46.85,0.00267535238526762
-131.55,46.85,0.00242080423049629
-131.45,46.85,0.002649663714692
-131.35,46.85,0.00247809570282698
-131.25,46.85,0.00182896479964256
-131.15,46.85,0.00162016320973635
-131.05,46.85,0.00191006914246827
-130.95,46.85,0.00201416993513703
-130.85,46.85,0.0025424815248698
-130.75,46.85,0.00247649266384542
-130.65,46.85,0.00186268065590411
-130.55,46.85,0.00178987463004887
-130.45,46.85,0.0028853768017143
-130.35,46.85,0.00109100819099694
-130.25,46.85,0.000949006644077599
-130.15,46.85,0.000856337195727974
-130.05,46.85,0.000882237392943352
-129.95,46.85,0.000851486925967038
-129.85,46.85,0.000883544271346182
-129.75,46.85,0.00090198393445462
-129.65,46.85,0.00101714103948325
